Region,Market,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Czechia,Fresh Fruits,Mobile/Desktop Split,Mobile,percent,Statista,,,,28.923,32.941,37.525,41.457,44.033,45.51,46.735,47.185,47.626,,
Czechia,Fresh Fruits,Volume,Total,million kilograms,Statista,540.832,544.274,550.069,555.617,547.032,565.689,568.59,575.438,583.734,592.515,604.595,616.377,628.65,627.869
Czechia,Fresh Fruits,Volume,Apples & Pears,million kilograms,Statista,152.996,150.685,149.011,147.243,141.79,143.382,142.388,142.132,142.402,142.887,144.452,145.962,148.311,141.634
Czechia,Fresh Fruits,Volume,Bananas,million kilograms,Statista,98.131,98.723,99.724,100.66,99.019,102.289,102.744,103.796,105.131,106.543,108.545,110.484,112.664,112.15
Czechia,Fresh Fruits,Volume,Berries & Grapes,million kilograms,Statista,30.283,30.835,31.526,32.207,32.066,33.526,33.976,34.635,35.384,36.158,37.111,38.049,38.855,39.554
Czechia,Fresh Fruits,Volume,Citrus Fruits,million kilograms,Statista,135.699,138.606,142.151,145.681,145.499,152.606,154.243,157.416,160.786,164.217,168.34,172.359,176.242,180.543
Czechia,Fresh Fruits,Volume,Other Fresh Fruits,million kilograms,Statista,123.723,125.424,127.657,129.825,128.658,133.886,135.24,137.459,140.032,142.71,146.148,149.522,152.578,153.988
Czechia,Fresh Fruits,Volume Change,Total,percent,Statista,,0.636,1.065,1.009,-1.545,3.411,0.513,1.204,1.442,1.504,2.039,1.949,1.991,-0.124
Czechia,Fresh Fruits,Volume Change,Apples & Pears,percent,Statista,,-1.51,-1.111,-1.186,-3.704,1.123,-0.693,-0.18,0.19,0.341,1.095,1.046,1.609,-4.502
Czechia,Fresh Fruits,Volume Change,Bananas,percent,Statista,,0.604,1.013,0.939,-1.63,3.303,0.445,1.024,1.286,1.343,1.879,1.787,1.973,-0.457
Czechia,Fresh Fruits,Volume Change,Berries & Grapes,percent,Statista,,1.824,2.238,2.162,-0.439,4.553,1.342,1.94,2.163,2.186,2.636,2.527,2.119,1.8
Czechia,Fresh Fruits,Volume Change,Citrus Fruits,percent,Statista,,2.142,2.558,2.483,-0.125,4.884,1.073,2.057,2.141,2.134,2.511,2.387,2.253,2.441
Czechia,Fresh Fruits,Volume Change,Other Fresh Fruits,percent,Statista,,1.375,1.78,1.698,-0.898,4.063,1.011,1.641,1.872,1.913,2.409,2.309,2.044,0.924
Czechia,Fresh Fruits,Average Volume per Capita,Total,kilograms,Statista,51.065,51.34,51.801,52.215,51.289,52.921,53.095,53.656,54.368,55.139,56.229,57.302,58.431,58.36
Czechia,Fresh Fruits,Average Volume per Capita,Apples & Pears,kilograms,Statista,14.446,14.214,14.033,13.837,13.294,13.414,13.296,13.253,13.263,13.297,13.434,13.569,13.785,13.165
Czechia,Fresh Fruits,Average Volume per Capita,Bananas,kilograms,Statista,9.265,9.312,9.391,9.46,9.284,9.569,9.594,9.678,9.792,9.915,10.095,10.271,10.472,10.424
Czechia,Fresh Fruits,Average Volume per Capita,Berries & Grapes,kilograms,Statista,2.859,2.909,2.969,3.027,3.006,3.136,3.173,3.23,3.296,3.365,3.451,3.537,3.611,3.677
Czechia,Fresh Fruits,Average Volume per Capita,Citrus Fruits,kilograms,Statista,12.813,13.074,13.387,13.691,13.642,14.277,14.403,14.678,14.975,15.282,15.656,16.023,16.381,16.781
Czechia,Fresh Fruits,Average Volume per Capita,Other Fresh Fruits,kilograms,Statista,11.682,11.831,12.022,12.2,12.063,12.525,12.629,12.817,13.042,13.28,13.592,13.9,14.182,14.313
Czechia,Processed & Frozen Fruits,Price per Unit,Average,USD (US$),Statista,3.346,2.929,3.066,3.39,3.841,3.856,3.998,4.544,4.952,5.066,5.167,5.27,5.376,5.483
Czechia,Processed & Frozen Fruits,Revenue,Total,million USD (US$),Statista,132.4,115.4,120.8,133.6,147.8,152.2,158,180.9,199.2,206.2,214.3,222.6,230.9,229.9
Czechia,Processed & Frozen Fruits,Revenue Change,Total,percent,Statista,,-12.84,4.679,10.596,10.629,2.977,3.811,14.494,10.116,3.514,3.928,3.873,3.729,-0.433
Czechia,Processed & Frozen Fruits,Average Revenue per Capita,Total,USD (US$),Statista,12.5,10.88,11.38,12.56,13.86,14.24,14.76,16.87,18.56,19.19,19.93,20.69,21.46,21.37
Czechia,Processed & Frozen Fruits,Online Revenue Share,Offline,percent,Statista,,,,99.842,99.819,99.794,99.733,99.702,99.666,99.627,99.581,99.529,,
Czechia,Processed & Frozen Fruits,Online Revenue Share,Online,percent,Statista,,,,0.158,0.181,0.206,0.267,0.298,0.334,0.373,0.419,0.471,,
Czechia,Processed & Frozen Fruits,Mobile/Desktop Split,Desktop,percent,Statista,,,,71.077,67.059,62.475,58.543,55.967,54.49,53.265,52.815,52.374,,
Czechia,Processed & Frozen Fruits,Mobile/Desktop Split,Mobile,percent,Statista,,,,28.923,32.941,37.525,41.457,44.033,45.51,46.735,47.185,47.626,,
Czechia,Processed & Frozen Fruits,Volume,Total,million kilograms,Statista,39.574,39.384,39.399,39.425,38.484,39.486,39.529,39.814,40.235,40.712,41.475,42.228,42.954,41.927
Czechia,Processed & Frozen Fruits,Volume Change,Total,percent,Statista,,-0.479,0.037,0.067,-2.386,2.603,0.108,0.721,1.06,1.184,1.875,1.816,1.719,-2.391
Czechia,Processed & Frozen Fruits,Average Volume per Capita,Total,kilograms,Statista,3.737,3.715,3.71,3.705,3.608,3.694,3.691,3.712,3.747,3.789,3.857,3.926,3.992,3.897
Czechia,Fresh Vegetables,Price per Unit,Average,USD (US$),Statista,1.176,1.035,1.09,1.213,1.385,1.401,1.476,1.68,1.833,1.877,1.916,1.956,1.996,2.04
Czechia,Fresh Vegetables,Price per Unit,Cabbage Vegetables,USD (US$),Statista,0.915,0.806,0.851,0.948,1.085,1.1,1.167,1.33,1.449,1.482,1.512,1.542,1.573,1.604
Czechia,Fresh Vegetables,Price per Unit,Leafy Vegetables,USD (US$),Statista,1.828,1.592,1.661,1.831,2.071,2.079,2.18,2.471,2.693,2.755,2.81,2.866,2.923,2.982
Czechia,Fresh Vegetables,Price per Unit,Onions,USD (US$),Statista,0.738,0.645,0.678,0.751,0.853,0.858,0.902,1.025,1.117,1.142,1.165,1.189,1.212,1.237
Czechia,Fresh Vegetables,Price per Unit,Other Fresh Vegetables,USD (US$),Statista,1.252,1.1,1.157,1.285,1.465,1.481,1.558,1.771,1.93,1.974,2.014,2.054,2.095,2.137
Czechia,Fresh Vegetables,Price per Unit,Potatoes,USD (US$),Statista,0.743,0.657,0.695,0.775,0.885,0.896,0.947,1.079,1.176,1.203,1.227,1.252,1.277,1.302
Czechia,Fresh Vegetables,Price per Unit,Root Vegetables & Mushrooms,USD (US$),Statista,1.559,1.373,1.449,1.615,1.847,1.874,1.949,2.223,2.422,2.478,2.527,2.578,2.629,2.682
Czechia,Fresh Vegetables,Price per Unit,Tomatoes,USD (US$),Statista,1.73,1.524,1.607,1.792,2.05,2.079,2.206,2.499,2.723,2.786,2.841,2.898,2.956,3.015
Czechia,Fresh Vegetables,Revenue,Total,billion USD (US$),Statista,1.276,1.11,1.16,1.281,1.415,1.455,1.508,1.724,1.89,1.949,2.018,2.089,2.165,2.123
Czechia,Fresh Vegetables,Revenue,Cabbage Vegetables,billion USD (US$),Statista,0.097,0.084,0.088,0.097,0.106,0.109,0.113,0.129,0.14,0.144,0.149,0.153,0.159,0.154
Czechia,Fresh Vegetables,Revenue,Leafy Vegetables,billion USD (US$),Statista,0.197,0.172,0.179,0.198,0.219,0.226,0.234,0.268,0.295,0.305,0.317,0.329,0.341,0.341
Czechia,Fresh Vegetables,Revenue,Onions,billion USD (US$),Statista,0.083,0.072,0.075,0.082,0.091,0.093,0.096,0.11,0.12,0.124,0.128,0.132,0.137,0.135
Czechia,Fresh Vegetables,Revenue,Other Fresh Vegetables,billion USD (US$),Statista,0.376,0.328,0.343,0.379,0.42,0.432,0.449,0.514,0.564,0.583,0.604,0.627,0.649,0.639
Czechia,Fresh Vegetables,Revenue,Potatoes,billion USD (US$),Statista,0.192,0.166,0.173,0.19,0.208,0.213,0.22,0.25,0.273,0.279,0.287,0.295,0.306,0.295
Czechia,Fresh Vegetables,Revenue,Root Vegetables & Mushrooms,billion USD (US$),Statista,0.148,0.129,0.135,0.149,0.165,0.17,0.176,0.202,0.222,0.229,0.237,0.246,0.255,0.25
Czechia,Fresh Vegetables,Revenue,Tomatoes,billion USD (US$),Statista,0.184,0.16,0.168,0.185,0.205,0.211,0.22,0.251,0.276,0.286,0.296,0.307,0.318,0.311
Czechia,Fresh Vegetables,Revenue Change,Total,percent,Statista,,-13.009,4.505,10.431,10.461,2.827,3.643,14.324,9.629,3.122,3.54,3.518,3.638,-1.94
Czechia,Fresh Vegetables,Revenue Change,Cabbage Vegetables,percent,Statista,,-13.217,4.311,10.183,10.133,2.634,3.391,14.007,9.098,2.637,3.194,3.163,3.457,-2.963
Czechia,Fresh Vegetables,Revenue Change,Leafy Vegetables,percent,Statista,,-12.944,4.665,10.529,10.534,2.918,3.766,14.389,10.041,3.426,3.837,3.759,3.744,-0.088
Czechia,Fresh Vegetables,Revenue Change,Onions,percent,Statista,,-13.212,4.322,10.196,10.163,2.609,3.412,14.016,9.463,2.993,3.39,3.357,3.625,-1.531
Czechia,Fresh Vegetables,Revenue Change,Other Fresh Vegetables,percent,Statista,,-12.872,4.731,10.58,10.596,3.003,3.795,14.49,9.833,3.28,3.725,3.69,3.623,-1.602
Czechia,Fresh Vegetables,Revenue Change,Potatoes,percent,Statista,,-13.459,4.099,9.902,9.852,2.35,3.14,13.766,8.826,2.349,2.94,2.891,3.487,-3.631
Czechia,Fresh Vegetables,Revenue Change,Root Vegetables & Mushrooms,percent,Statista,,-12.914,4.736,10.6,10.59,3.03,3.765,14.456,9.757,3.204,3.717,3.668,3.619,-2.002
Czechia,Fresh Vegetables,Revenue Change,Tomatoes,percent,Statista,,-12.894,4.747,10.614,10.62,3.021,3.832,14.487,9.948,3.402,3.64,3.681,3.583,-2.327
Czechia,Fresh Vegetables,Average Revenue per Capita,Total,USD (US$),Statista,120.5,104.7,109.3,120.4,132.7,136.1,140.8,160.7,176,181.3,187.7,194.2,201.2,197.4
Czechia,Fresh Vegetables,Average Revenue per Capita,Cabbage Vegetables,USD (US$),Statista,9.137,7.921,8.25,9.07,9.969,10.2,10.53,11.99,13.07,13.4,13.82,14.25,14.74,14.31
Czechia,Fresh Vegetables,Average Revenue per Capita,Leafy Vegetables,USD (US$),Statista,18.6,16.18,16.9,18.65,20.56,21.12,21.87,24.98,27.45,28.37,29.44,30.54,31.68,31.65
Czechia,Fresh Vegetables,Average Revenue per Capita,Onions,USD (US$),Statista,7.804,6.766,7.047,7.749,8.517,8.72,9.001,10.25,11.21,11.53,11.91,12.31,12.75,12.56
Czechia,Fresh Vegetables,Average Revenue per Capita,Other Fresh Vegetables,USD (US$),Statista,35.5,30.9,32.31,35.66,39.34,40.43,41.89,47.89,52.54,54.22,56.2,58.25,60.35,59.39
Czechia,Fresh Vegetables,Average Revenue per Capita,Potatoes,USD (US$),Statista,18.1,15.65,16.26,17.83,19.55,19.97,20.56,23.35,25.38,25.96,26.7,27.46,28.42,27.39
Czechia,Fresh Vegetables,Average Revenue per Capita,Root Vegetables & Mushrooms,USD (US$),Statista,13.97,12.15,12.71,14.02,15.47,15.9,16.47,18.83,20.64,21.29,22.06,22.86,23.68,23.21
Czechia,Fresh Vegetables,Average Revenue per Capita,Tomatoes,USD (US$),Statista,17.35,15.1,15.79,17.44,19.24,19.78,20.49,23.43,25.73,26.58,27.54,28.54,29.56,28.87
Czechia,Fresh Vegetables,Online Revenue Share,Offline,percent,Statista,,,,99.842,99.819,99.794,99.733,99.702,99.666,99.627,99.581,99.529,,
Czechia,Fresh Vegetables,Online Revenue Share,Online,percent,Statista,,,,0.158,0.181,0.206,0.267,0.298,0.334,0.373,0.419,0.471,,
Czechia,Fresh Vegetables,Mobile/Desktop Split,Desktop,percent,Statista,,,,71.077,67.059,62.475,58.543,55.967,54.49,53.265,52.815,52.374,,
Czechia,Fresh Vegetables,Mobile/Desktop Split,Mobile,percent,Statista,,,,28.923,32.941,37.525,41.457,44.033,45.51,46.735,47.185,47.626,,
Czechia,Fresh Vegetables,Volume,Total,million kilograms,Statista,"1,084.977","1,072.177","1,064.089","1,055.955","1,021.804","1,038.827","1,021.413","1,025.717","1,031.043","1,038.096","1,052.985","1,067.774","1,084.503","1,040.693"
Czechia,Fresh Vegetables,Volume,Cabbage Vegetables,million kilograms,Statista,105.721,104.13,102.981,101.77,98.015,99.133,96.621,96.721,96.841,97.148,98.275,99.387,100.855,95.933
Czechia,Fresh Vegetables,Volume,Leafy Vegetables,million kilograms,Statista,107.783,107.706,108.069,108.355,105.877,108.601,107.437,108.405,109.463,110.67,112.664,114.628,116.589,114.18
Czechia,Fresh Vegetables,Volume,Onions,million kilograms,Statista,112.01,111.114,110.426,109.794,106.507,108.616,106.846,107.253,107.764,108.437,109.924,111.377,113.194,109.249
Czechia,Fresh Vegetables,Volume,Other Fresh Vegetables,million kilograms,Statista,300.333,297.856,296.588,295.19,286.393,291.834,287.901,289.96,292.3,295.115,300.091,305.063,309.901,298.969
Czechia,Fresh Vegetables,Volume,Potatoes,million kilograms,Statista,257.996,252.483,248.554,244.923,235.57,238.282,232.578,231.992,231.707,231.861,233.952,235.991,239.481,226.259
Czechia,Fresh Vegetables,Volume,Root Vegetables & Mushrooms,million kilograms,Statista,94.88,93.811,93.132,92.392,89.325,90.692,90.536,90.843,91.502,92.319,93.867,95.403,96.904,93.106
Czechia,Fresh Vegetables,Volume,Tomatoes,million kilograms,Statista,106.254,105.078,104.34,103.531,100.116,101.669,99.495,100.542,101.467,102.545,104.212,105.924,107.579,102.997
Czechia,Fresh Vegetables,Volume Change,Total,percent,Statista,,-1.18,-0.754,-0.764,-3.234,1.666,-1.676,0.421,0.519,0.684,1.434,1.405,1.567,-4.04
Czechia,Fresh Vegetables,Volume Change,Cabbage Vegetables,percent,Statista,,-1.505,-1.103,-1.175,-3.69,1.141,-2.534,0.104,0.124,0.317,1.16,1.132,1.477,-4.88
Czechia,Fresh Vegetables,Volume Change,Leafy Vegetables,percent,Statista,,-0.071,0.337,0.264,-2.286,2.572,-1.072,0.902,0.976,1.103,1.802,1.743,1.711,-2.066
Czechia,Fresh Vegetables,Volume Change,Onions,percent,Statista,,-0.8,-0.619,-0.572,-2.993,1.98,-1.629,0.381,0.476,0.625,1.371,1.322,1.631,-3.485
Czechia,Fresh Vegetables,Volume Change,Other Fresh Vegetables,percent,Statista,,-0.825,-0.426,-0.471,-2.98,1.9,-1.348,0.715,0.807,0.963,1.686,1.657,1.586,-3.527
Czechia,Fresh Vegetables,Volume Change,Potatoes,percent,Statista,,-2.137,-1.556,-1.461,-3.819,1.151,-2.394,-0.252,-0.123,0.067,0.902,0.872,1.479,-5.521
Czechia,Fresh Vegetables,Volume Change,Root Vegetables & Mushrooms,percent,Statista,,-1.127,-0.723,-0.795,-3.319,1.531,-0.173,0.339,0.726,0.892,1.677,1.636,1.573,-3.92
Czechia,Fresh Vegetables,Volume Change,Tomatoes,percent,Statista,,-1.107,-0.703,-0.775,-3.299,1.551,-2.138,1.052,0.92,1.063,1.625,1.643,1.562,-4.259
Czechia,Fresh Vegetables,Average Volume per Capita,Total,kilograms,Statista,102.442,101.136,100.207,99.234,95.803,97.185,95.379,95.642,96.029,96.604,97.93,99.266,100.801,96.731
Czechia,Fresh Vegetables,Average Volume per Capita,Cabbage Vegetables,kilograms,Statista,9.982,9.822,9.698,9.564,9.19,9.274,9.022,9.019,9.02,9.04,9.14,9.24,9.374,8.917
Czechia,Fresh Vegetables,Average Volume per Capita,Leafy Vegetables,kilograms,Statista,10.177,10.16,10.177,10.183,9.927,10.16,10.032,10.108,10.195,10.299,10.478,10.656,10.837,10.613
Czechia,Fresh Vegetables,Average Volume per Capita,Onions,kilograms,Statista,10.576,10.481,10.399,10.318,9.986,10.161,9.977,10.001,10.037,10.091,10.223,10.354,10.521,10.155
Czechia,Fresh Vegetables,Average Volume per Capita,Other Fresh Vegetables,kilograms,Statista,28.357,28.096,27.93,27.741,26.852,27.302,26.884,27.037,27.224,27.463,27.909,28.36,28.804,27.789
Czechia,Fresh Vegetables,Average Volume per Capita,Potatoes,kilograms,Statista,24.36,23.816,23.407,23.017,22.087,22.292,21.718,21.632,21.581,21.577,21.758,21.939,22.259,21.03
Czechia,Fresh Vegetables,Average Volume per Capita,Root Vegetables & Mushrooms,kilograms,Statista,8.958,8.849,8.77,8.683,8.375,8.484,8.454,8.471,8.522,8.591,8.73,8.869,9.007,8.654
Czechia,Fresh Vegetables,Average Volume per Capita,Tomatoes,kilograms,Statista,10.032,9.912,9.826,9.729,9.387,9.511,9.291,9.375,9.45,9.543,9.692,9.847,9.999,9.573
Czechia,Nuts,Price per Unit,Average,USD (US$),Statista,6.766,5.737,5.823,6.247,6.877,6.713,6.863,7.685,7.967,8.16,8.328,8.49,8.635,8.645
Czechia,Nuts,Revenue,Total,million USD (US$),Statista,104.8,91.59,96.23,106.8,118.5,122.4,127.5,146.4,155.9,164,172.4,180.9,188.3,196.5
Czechia,Nuts,Revenue Change,Total,percent,Statista,,-12.605,5.066,10.984,10.955,3.291,4.167,14.824,6.489,5.196,5.122,4.93,4.091,4.355
Czechia,Nuts,Average Revenue per Capita,Total,USD (US$),Statista,9.894,8.639,9.062,10.04,11.11,11.45,11.9,13.65,14.52,15.26,16.04,16.81,17.5,18.27
Czechia,Nuts,Online Revenue Share,Offline,percent,Statista,,,,99.842,99.819,99.794,99.733,99.701,99.666,99.627,99.581,99.529,,
Czechia,Nuts,Online Revenue Share,Online,percent,Statista,,,,0.158,0.181,0.206,0.267,0.299,0.334,0.373,0.419,0.471,,
Czechia,Nuts,Mobile/Desktop Split,Desktop,percent,Statista,,,,71.077,67.059,62.475,58.543,55.967,54.49,53.265,52.815,52.374,,
Czechia,Nuts,Mobile/Desktop Split,Mobile,percent,Statista,,,,28.923,32.941,37.525,41.457,44.033,45.51,46.735,47.185,47.626,,
Czechia,Nuts,Volume,Total,million kilograms,Statista,15.488,15.966,16.526,17.093,17.229,18.237,18.575,19.05,19.568,20.094,20.706,21.305,21.811,22.735
Czechia,Nuts,Volume Change,Total,percent,Statista,,3.086,3.506,3.429,0.796,5.85,1.857,2.554,2.719,2.689,3.044,2.893,2.374,4.241
Czechia,Nuts,Average Volume per Capita,Total,kilograms,Statista,1.462,1.506,1.556,1.606,1.615,1.706,1.735,1.776,1.823,1.87,1.926,1.981,2.027,2.113
Czechia,Vegetables,Price per Unit,Average,USD (US$),Statista,1.188,1.043,1.095,1.214,1.381,1.392,1.461,1.66,1.811,1.854,1.893,1.932,1.971,2.013
Czechia,Vegetables,Price per Unit,Fresh Vegetables,USD (US$),Statista,1.176,1.035,1.09,1.213,1.385,1.401,1.476,1.68,1.833,1.877,1.916,1.956,1.996,2.04
Czechia,Vegetables,Price per Unit,Processed & Frozen Vegetables,USD (US$),Statista,1.248,1.078,1.114,1.217,1.363,1.353,1.395,1.575,1.717,1.756,1.791,1.827,1.864,1.901
Czechia,Vegetables,Revenue,Total,billion USD (US$),Statista,1.564,1.359,1.42,1.567,1.729,1.777,1.84,2.101,2.306,2.378,2.463,2.55,2.644,2.608
Czechia,Vegetables,Revenue,Fresh Vegetables,billion USD (US$),Statista,1.276,1.11,1.16,1.281,1.415,1.455,1.508,1.724,1.89,1.949,2.018,2.089,2.165,2.123
Czechia,Vegetables,Revenue,Processed & Frozen Vegetables,billion USD (US$),Statista,0.288,0.249,0.26,0.286,0.314,0.322,0.332,0.378,0.416,0.43,0.445,0.461,0.479,0.484
Czechia,Vegetables,Revenue Change,Total,percent,Statista,,-13.107,4.489,10.352,10.338,2.776,3.545,14.185,9.757,3.122,3.574,3.532,3.686,-1.362
Czechia,Vegetables,Revenue Change,Fresh Vegetables,percent,Statista,,-13.009,4.505,10.431,10.461,2.827,3.643,14.324,9.629,3.122,3.54,3.518,3.638,-1.94
Czechia,Vegetables,Revenue Change,Processed & Frozen Vegetables,percent,Statista,,-13.398,4.128,9.969,9.94,2.388,3.203,13.769,10.064,3.393,3.63,3.526,4.013,1.022
Czechia,Vegetables,Average Revenue per Capita,Total,USD (US$),Statista,147.7,128.2,133.7,147.3,162.1,166.2,171.8,195.9,214.7,221.3,229.1,237.1,245.8,242.4
Czechia,Vegetables,Average Revenue per Capita,Fresh Vegetables,USD (US$),Statista,120.5,104.7,109.3,120.4,132.7,136.1,140.8,160.7,176,181.3,187.7,194.2,201.2,197.4
Czechia,Vegetables,Average Revenue per Capita,Processed & Frozen Vegetables,USD (US$),Statista,27.2,23.54,24.46,26.85,29.45,30.08,30.99,35.21,38.71,39.99,41.41,42.86,44.57,45.03
Czechia,Vegetables,Online Revenue Share,Offline,percent,Statista,,,,99.842,99.819,99.794,99.733,99.702,99.666,99.627,99.581,99.529,,
Czechia,Vegetables,Online Revenue Share,Online,percent,Statista,,,,0.158,0.181,0.206,0.267,0.298,0.334,0.373,0.419,0.471,,
Czechia,Vegetables,Mobile/Desktop Split,Desktop,percent,Statista,,,,71.077,67.059,62.475,58.543,55.967,54.49,53.265,52.815,52.374,,
Czechia,Vegetables,Mobile/Desktop Split,Mobile,percent,Statista,,,,28.923,32.941,37.525,41.457,44.033,45.51,46.735,47.185,47.626,,
Czechia,Vegetables,Volume,Total,million kilograms,Statista,"1,315.928","1,303.736","1,297.298","1,290.744","1,252.253","1,276.445","1,259.356","1,265.426","1,273.158","1,282.781","1,301.571","1,320.098","1,341.805","1,295.541"
Czechia,Vegetables,Volume,Fresh Vegetables,million kilograms,Statista,"1,084.977","1,072.177","1,064.089","1,055.955","1,021.804","1,038.827","1,021.413","1,025.717","1,031.043","1,038.096","1,052.985","1,067.774","1,084.503","1,040.693"
Czechia,Vegetables,Volume,Processed & Frozen Vegetables,million kilograms,Statista,230.951,231.559,233.208,234.788,230.449,237.618,237.943,239.71,242.115,244.685,248.586,252.324,257.302,254.848
Czechia,Vegetables,Volume Change,Total,percent,Statista,,-0.927,-0.494,-0.505,-2.982,1.932,-1.339,0.482,0.611,0.756,1.465,1.423,1.644,-3.448
Czechia,Vegetables,Volume Change,Fresh Vegetables,percent,Statista,,-1.18,-0.754,-0.764,-3.234,1.666,-1.676,0.421,0.519,0.684,1.434,1.405,1.567,-4.04
Czechia,Vegetables,Volume Change,Processed & Frozen Vegetables,percent,Statista,,0.263,0.712,0.678,-1.848,3.111,0.137,0.742,1.004,1.061,1.594,1.504,1.973,-0.954
Czechia,Vegetables,Average Volume per Capita,Total,kilograms,Statista,124.248,122.978,122.169,121.299,117.41,119.414,117.598,117.993,118.579,119.374,121.049,122.723,124.717,120.419
Czechia,Vegetables,Average Volume per Capita,Fresh Vegetables,kilograms,Statista,102.442,101.136,100.207,99.234,95.803,97.185,95.379,95.642,96.029,96.604,97.93,99.266,100.801,96.731
Czechia,Vegetables,Average Volume per Capita,Processed & Frozen Vegetables,kilograms,Statista,21.806,21.842,21.962,22.064,21.607,22.23,22.219,22.351,22.55,22.77,23.119,23.457,23.915,23.688
Czechia,Processed & Frozen Vegetables,Price per Unit,Average,USD (US$),Statista,1.248,1.078,1.114,1.217,1.363,1.353,1.395,1.575,1.717,1.756,1.791,1.827,1.864,1.901
Czechia,Processed & Frozen Vegetables,Revenue,Total,billion USD (US$),Statista,0.288,0.249,0.26,0.286,0.314,0.322,0.332,0.378,0.416,0.43,0.445,0.461,0.479,0.484
Czechia,Processed & Frozen Vegetables,Revenue Change,Total,percent,Statista,,-13.398,4.128,9.969,9.94,2.388,3.203,13.769,10.064,3.393,3.63,3.526,4.013,1.022
Czechia,Processed & Frozen Vegetables,Average Revenue per Capita,Total,USD (US$),Statista,27.2,23.54,24.46,26.85,29.45,30.08,30.99,35.21,38.71,39.99,41.41,42.86,44.57,45.03
Czechia,Processed & Frozen Vegetables,Online Revenue Share,Offline,percent,Statista,,,,99.842,99.819,99.794,99.733,99.702,99.667,99.627,99.581,99.529,,
Czechia,Processed & Frozen Vegetables,Online Revenue Share,Online,percent,Statista,,,,0.158,0.181,0.206,0.267,0.298,0.333,0.373,0.419,0.471,,
Czechia,Processed & Frozen Vegetables,Mobile/Desktop Split,Desktop,percent,Statista,,,,71.077,67.059,62.475,58.543,55.967,54.49,53.265,52.815,52.374,,
Czechia,Processed & Frozen Vegetables,Mobile/Desktop Split,Mobile,percent,Statista,,,,28.923,32.941,37.525,41.457,44.033,45.51,46.735,47.185,47.626,,
Czechia,Processed & Frozen Vegetables,Volume,Total,million kilograms,Statista,230.951,231.559,233.208,234.788,230.449,237.618,237.943,239.71,242.115,244.685,248.586,252.324,257.302,254.848
Czechia,Processed & Frozen Vegetables,Volume Change,Total,percent,Statista,,0.263,0.712,0.678,-1.848,3.111,0.137,0.742,1.004,1.061,1.594,1.504,1.973,-0.954
Czechia,Processed & Frozen Vegetables,Average Volume per Capita,Total,kilograms,Statista,21.806,21.842,21.962,22.064,21.607,22.23,22.219,22.351,22.55,22.77,23.119,23.457,23.915,23.688
Czechia,Oils & Fats,Price per Unit,Average,USD (US$),Statista,6.073,5.329,5.599,6.217,7.082,7.155,7.378,8.378,9.304,9.387,9.573,9.766,9.958,10.15
Czechia,Oils & Fats,Price per Unit,Butter,USD (US$),Statista,7.227,6.384,6.75,7.545,8.652,8.798,9.08,10.33,11.26,11.52,11.75,11.98,12.22,12.47
Czechia,Oils & Fats,Price per Unit,Edible Oils,USD (US$),Statista,6.137,5.361,5.607,6.199,7.03,7.071,7.282,8.252,8.991,9.198,9.382,9.57,9.761,9.956
Czechia,Oils & Fats,Price per Unit,Margarine,USD (US$),Statista,4.713,4.118,4.306,4.761,5.399,5.431,5.592,6.337,6.905,7.064,7.205,7.35,7.497,7.646
Czechia,Oils & Fats,Price per Unit,Other Oils & Fats,USD (US$),Statista,6.026,5.287,5.555,6.168,7.027,7.1,7.318,8.307,9.052,9.26,9.445,9.634,9.826,10.02
Czechia,Oils & Fats,Revenue,Total,million USD (US$),Statista,368.8,320.2,334.2,368.4,406,416.7,431.1,491.8,472.4,539.8,561.3,582.5,605.5,596.1
Czechia,Oils & Fats,Revenue,Butter,million USD (US$),Statista,114.8,99.88,104.5,115.4,127.4,131,135.8,155.3,170.6,176.2,182.5,189.1,196,190.9
Czechia,Oils & Fats,Revenue,Edible Oils,million USD (US$),Statista,103.4,89.93,94.03,103.8,114.6,117.9,122.2,139.6,110.8,147.9,155,161.8,168.7,168.4
Czechia,Oils & Fats,Revenue,Margarine,million USD (US$),Statista,64.93,55.89,57.83,63.2,69.05,70.25,72.03,81.44,63.92,84.38,87.51,90.33,94.17,92.33
Czechia,Oils & Fats,Revenue,Other Oils & Fats,million USD (US$),Statista,85.69,74.51,77.88,85.98,94.9,97.56,101.1,115.5,127.1,131.4,136.3,141.3,146.6,144.5
Czechia,Oils & Fats,Revenue Change,Total,percent,Statista,,-13.178,4.372,10.233,10.206,2.635,3.456,14.08,-3.945,14.268,3.983,3.777,3.948,-1.552
Czechia,Oils & Fats,Revenue Change,Butter,percent,Statista,,-12.997,4.626,10.431,10.399,2.826,3.664,14.359,9.852,3.283,3.575,3.616,3.649,-2.602
Czechia,Oils & Fats,Revenue Change,Edible Oils,percent,Statista,,-13.027,4.559,10.39,10.405,2.88,3.647,14.239,-20.63,33.484,4.801,4.387,4.265,-0.178
Czechia,Oils & Fats,Revenue Change,Margarine,percent,Statista,,-13.923,3.471,9.286,9.256,1.738,2.534,13.064,-21.513,32.009,3.709,3.222,4.251,-1.954
